1,javascript,Javascript
2,php,php
3,css,css
4,html,html
5,java,java
6,前端,front end
7,html5,html5
8,vue.js,vue.js
9,python,python
10,node.js,node.js
11,mysql,mysql
12,jquery,jquery
13,react.js,react.js
14,android,android
15,linux,linux
16,ios,ios
17,webpack,webpack
18,c++,c++
19,css3,css3
20,c,c
21,angular.js,Angular.js
22,git,git
23,laravel,laravel
24,nginx,nginx
25,github,github
26,web,web
27,es6,es6
28,ajax,ajax
29,objective-c,objective-c
30,正则表达式,regular expressions
31,程序员,programmers
32,redis,redis
33,算法,algorithms
34,golang,golang
35,sql,sql
36,mongodb,mongodb
37,spring,spring
38,thinkphp,thinkphp
39,http,http
40,vue-router,vue-router
